id,name,breed_time,buy_price,hatch_time,breedable,hatch_xp,description
22,Neon Dragon,9 Hours ,750,15 Hours ,Yes,100000,"The Neon Dragon is a Common Dragon   with the primary typing of Electric. The Neon Dragon can also learn Dark moves.      If you think neon colors were only a thing of the 80s, you’re wrong. Neon is back! This dragon is pure sunshine on wings!"
23,Pearl Dragon,13 Hours ,250,19 Hours ,Yes,50,"The Pearl Dragon is a Common Dragon   with the primary typing of Ice. The Pearl Dragon can also learn Metal moves.      The Pearl Dragon is known to be a bit vain and often wastes considerable amounts of time shining her pearls. But when necessary, she can also be extremely brave and selfless and will help anyone in need."
24,Cool Fire Dragon,,,,,,
25,Medieval Dragon,9 Hours ,500,15 Hours ,Yes,10000,"The Medieval Dragon is a Common Dragon   with the primary typing of Flame. The Medieval Dragon can also learn Metal moves.      The Medieval Dragon hails from the times of King Arthur, who gave him the precious task of protecting his sword. Ever since, he has been looking for a new master. Could it be you?"
26,Penguin Dragon,12 Hours ,750,18 Hours ,Yes,100000,"The Penguin Dragon is a Common Dragon   with the primary typing of Ice. The Penguin Dragon can also learn Dark moves.      At first sight, its easy to mistake this dragon for a penguin, but dont be fooled - her teeth are extremely sharp!"
27,Ice Dragon,9 Hours ,15000,15 Hours ,Yes,5000,"The Ice Dragon is a Common Dragon   with the primary typing of Ice.       Due to the recent climate changes, the super cool Ice Dragons have migrated to the North Pole. If you see one in a warm place, please direct them to the nearest ice rink and youll have a friend forever."
28,Carnivorous Plant Dragon,,,,,,
29,Fluorescent Dragon,13 Hours ,250,19 Hours ,Yes,5000,"The Fluorescent Dragon is a Common Dragon   with the primary typing of Electric. The Fluorescent Dragon can also learn Ice moves.      This dragon glows in the dark, so hes extremely convenient during the dark winter months. You will also save on electricity by getting this glowing dragon!"
30,Electric Dragon,30 minutes ,4500,30 minutes ,Yes,5000,"The Electric Dragon is a Common Dragon   with the primary typing of Electric.       Legend has it that this dragon was born from a great storm in the Dark Ages, when an ordinary dragon got hit by lightning. Since that day, you can see other dragons flying the skies looking for a shock."
31,Battery Dragon,13 Hours ,500,19 Hours ,Yes,10000,The Battery Dragon is a Common Dragon   with the primary typing of Electric. The Battery Dragon can also learn Metal moves.      Running out of batteries all the time? This dragon will be your new best friend and keep all your devices fully charged whenever he’s around!
32,Sea Dragon,30 seconds ,350,30 seconds ,Yes,250,"The Sea Dragon is a Common Dragon   with the primary typing of Sea.       If youre into watersports, the Sea Dragon will be your new best friend! Sea Dragons have often been mistaken for seals or dolphins."
33,Metal Dragon,7 Hours ,60000,13 Hours ,Yes,10000,"The Metal Dragon is a Common Dragon   with the primary typing of Metal.       A robust dragon, drawn towards all things metal. Word on the island is that what the Metal Dragon lacks in intellect, he more than makes up for in determination."
34,Dark Dragon,2 Hours ,120000,2 Hours ,Yes,100000,"The Dark Dragon is a Rare Dragon   with the primary typing of Dark.       The Dark Dragon is highly elusive; only a handful of eyewitnesses have managed to spot this creature of the night. Because of her color and nocturnal rhythm, shes virtually impossible to see!"
35,Legacy Dragon,2 days 2 hrs ,2500,2 days 10 hrs ,Yes,432000,The Legacy Dragon is a Legendary Dragon   with the primary typing of Legend.       This dragon is so legendary that no words can do him justice. But beware: Your life will never be the same again after you’ve encountered this creature of legends.
36,Vampire Dragon,13 Hours ,1000,19 Hours ,Yes,100000,"The Vampire Dragon is a Common Dragon   with the primary typing of Flame. The Vampire Dragon can also learn Dark moves.      If you’ve caught the Vampire Dragon, you can give yourself a pat on the back. Beware! He cant be tamed, so treat him nicely or he will just fly away!"
37,Alpine Dragon,13 Hours ,250,19 Hours ,Yes,5000,"The Alpine Dragon is a Common Dragon   with the primary typing of Terra. The Alpine Dragon can also learn Ice moves.      Alpine Dragon, the robust cousin of Ice Dragon is impossible not to love! This adorable creature is irresistibly playful and friendly. Watch out for avalanches though!"
38,Poo Dragon,12 Hours ,3500,18 Hours ,Yes,200000,"The Poo Dragon is a Rare Dragon   with the primary typing of Terra. The Poo Dragon can also learn Sea and  Dark moves.      Sometimes it’s considered slightly disgusting, but in other parts of the world, poo is thought to bring good luck and fortune! Are you brave enough to put this dragon on your island?"
39,Volcano Dragon,60 seconds ,30,60 seconds ,Yes,250,"The Volcano Dragon is a Common Dragon   with the primary typing of Flame. The Volcano Dragon can also learn Terra moves.      This is the most explosive cousin of the Alpine Dragon. Always happy and cheerful, but watch out, hes hot!"
40,Blizzard Dragon,2 Hours ,65,2 Hours ,Yes,1000,"The Blizzard Dragon is a Common Dragon   with the primary typing of Sea. The Blizzard Dragon can also learn Flame moves.      Weirdly enough, this dragon made of snow and ice seems to like hot and wet environments! Seeing this rare dragon flap around in a pile of lava is definitely worth the effort!"
41,Rattlesnake Dragon,9 Hours ,1000,15 Hours ,Yes,100000,"The Rattlesnake Dragon is a Common Dragon   with the primary typing of Dark. The Rattlesnake Dragon can also learn Nature moves.      Potentially deadly, this dragon has to be treated with care to stop him from biting his master! When fully trained, he can be the most loyal servant."
42,Gold Dragon,9 Hours ,500,15 Hours ,Yes,10000,"The Gold Dragon is a Common Dragon   with the primary typing of Metal. The Gold Dragon can also learn Electric moves.      Precious by nature, this dragon is the most giving of them all. If you take good care of him and feed him well, he might just lay a beautiful golden egg."
43,Soccer Dragon,9 Hours ,250,15 Hours ,Yes,5000,"The Soccer Dragon is a Common Dragon   with the primary typing of Ice. The Soccer Dragon can also learn Flame moves.      The ancestors of this dragon happened to make their home in a soccer stadium, and thats how it all started. The dragons began watching games and finally learned how to play themselves."
44,Platinum Dragon,9 Hours ,500,15 Hours ,Yes,10000,The Platinum Dragon is a Common Dragon   with the primary typing of Metal. The Platinum Dragon can also learn Ice moves.      A dragon of this magnitude certainly knows his worth. Platinum Dragon is generally known as the leader of the pack and isnt afraid to demonstrate his power.
45,Pirate Dragon,12 Hours ,1000,18 Hours ,Yes,200000,"The Pirate Dragon is a Rare Dragon   with the primary typing of Dark. The Pirate Dragon can also learn Sea moves.      Ahoy, dragon lovers! This very special dragon will be a crown jewel in your dragon collection. Get ready for some reckless sea adventures and hop on board!"
46,Crystal Dragon,2 days 2 hrs ,2500,2 days 10 hrs ,Yes,432000,"The Crystal Dragon is a Legendary Dragon   with the primary typing of Legend.       If you like shiny, valuable things, you’ll love the Crystal Dragon! She’s very rare and only shows herself when the planets are appropriately aligned. Youll be lucky to see her!"
47,Air Dragon,2 days 2 hrs ,2500,2 days 10 hrs ,Yes,432000,"The Air Dragon is a Legendary Dragon   with the primary typing of Legend.       Famous for her flying skills, this dragon can float for hours and hours without ever moving a wing. Shes a master of the currents, and some witnesses say that she even changes color according to the weather!"
48,Mirror Dragon,2 days 2 hrs ,2500,2 days 10 hrs ,Yes,432000,The Mirror Dragon is a Legendary Dragon   with the primary typing of Legend.       Do you like admiring yourself in the mirror? Then the Mirror Dragon will be your new best friend! Some people say that you can catch a glimpse of the future reflected in this dragon.
49,Coral Dragon,9 Hours ,750,15 Hours ,Yes,5000,The Coral Dragon is a Common Dragon   with the primary typing of Nature. The Coral Dragon can also learn Sea moves.      The Coral Dragon reflects that which is most beautiful underwater. The colorful gardens of the abyss are more magnificent than you could ever imagine. This dragon is a treasure!
50,Spicy Dragon,7 Hours ,150,13 Hours ,Yes,5000,The Spicy Dragon is a Common Dragon   with the primary typing of Flame. The Spicy Dragon can also learn Nature moves.      Spice up your island kingdom with this temperamental fellow. The Spicy Dragon is known for his excessive use of colorful language and passion for Mexican food.
51,Waterfall Dragon,4 Hours ,150,4 Hours ,Yes,1000,The Waterfall Dragon is a Common Dragon   with the primary typing of Terra. The Waterfall Dragon can also learn Sea moves.      This dragon is an absolute wonder! Where does the water come from and where is it going? Who knows? Its still mesmerizing to watch.
52,Cactus Dragon,7 Hours ,200,9 Hours ,Yes,5000,"The Cactus Dragon is a Common Dragon   with the primary typing of Terra. The Cactus Dragon can also learn Nature moves.      The Cactus Dragon loves to cuddle! What a shame that she’s covered in thorns. If you still find her charming despite the risk of getting pricked, put your gloves on and give her a hug!"
53,Storm Dragon,9 Hours ,500,15 Hours ,Yes,5000,"The Storm Dragon is a Common Dragon   with the primary typing of Sea. The Storm Dragon can also learn Electric moves.      This dragon loves stormy weather more than anything! If you feel that life is getting too peaceful in your island kingdom, get the Storm Dragon to shake things up."
54,Ice Cream Dragon,,,,,,
55,Mojito Dragon,9 Hours ,375,15 Hours ,Yes,5000,The Mojito Dragon is a Common Dragon   with the primary typing of Nature. The Mojito Dragon can also learn Ice moves.      You know that its summer when you see mojitos everywhere! Invite this refreshing dragon to your islands and we can guarantee that the party will never stop.
56,Chameleon Dragon,9 Hours ,350,15 Hours ,Yes,5000,"The Chameleon Dragon is a Common Dragon   with the primary typing of Terra. The Chameleon Dragon can also learn Electric moves.      A master of camouflage - the Chameleon Dragon can change color, so dont be alarmed if she seems to have disappeared, just wait a sec and shell appear again! Fun fact: This dragon sees everything."
57,Hot Metal Dragon,,,,,,
58,Snowflake Dragon,9 Hours ,350,15 Hours ,Yes,8000,"The Snowflake Dragon is a Common Dragon   with the primary typing of Terra. The Snowflake Dragon can also learn Ice moves.      This beautiful dragon is very friendly and delicate, attracting snowflakes wherever she goes - natures own works of art. Just keep the temperature low, or shell melt!"
59,Seashell Dragon,9 Hours ,400,15 Hours ,Yes,8000,"The Seashell Dragon is a Common Dragon   with the primary typing of Sea. The Seashell Dragon can also learn Metal moves.      Who doesnt love seashells - the treasures of the sea? Offer this dragon a home and see what beautiful, shiny treasures will come out!"
60,Moose Dragon,9 Hours ,250,15 Hours ,Yes,8000,"The Moose Dragon is a Common Dragon   with the primary typing of Electric. The Moose Dragon can also learn Ice moves.      Did you know that the Moose Dragon is one of the most ancient animals around today? At the dawn of time, in the ancient marshes, a moose and a dragon met... It was love at first sight, and the result is delightful!"
61,Dragonfly Dragon,13 Hours ,250,19 Hours ,Yes,5000,"The Dragonfly Dragon is a Common Dragon   with the primary typing of Nature. The Dragonfly Dragon can also learn Metal moves.      Sometimes a dragon is even closer than you think - just sitting on the rock behind you or flying by while you lie on the grass. Despite often being mistaken for an insect, the Dragonfly is all Dragon."
62,Venom Dragon,9 Hours ,350,15 Hours ,Yes,10000,"The Venom Dragon is a Common Dragon   with the primary typing of Terra. The Venom Dragon can also learn Dark moves.      Rising from deep below ground, the impressive Venom Dragon appears. Hes potentially lethal but can also provide an antidote when you need it most. Will you take the risk?"
63,Steampunk Dragon,13 Hours ,250,19 Hours ,Yes,10000,"The Steampunk Dragon is a Common Dragon   with the primary typing of Flame. The Steampunk Dragon can also learn Metal moves.      A masterpiece of classic machinery, this one actually came to life with a little help from our Dragon Master, Deus. Keep him well oiled and you will have a loyal servant forever!"
64,Dark Fire Dragon,,,,,,
65,Butterfly Dragon,9 Hours ,1500,15 Hours ,Yes,50,"The Butterfly Dragon is a Common Dragon   with the primary typing of Nature. The Butterfly Dragon can also learn Flame moves.      Release this magical dragon onto your island and enjoy her mesmerizing beauty! You will never be able to catch her, but given her fiery temper, maybe this dragon is best appreciated from afar."
66,Robot Dragon,18 Hours ,2500,15 Hours ,No,10000,"The Robot Dragon is a Common Dragon   with the primary typing of Flame. The Robot Dragon can also learn Metal moves.      Did you ever imagine youd have a robot servant in the future? Well, the future is already here, and this Robot Dragon is the best servant you could ever have! It even has a container for cold drinks."
67,Pure Terra Dragon,,,,,,
68,Pure Flame Dragon,,,,,,
69,Pure Sea Dragon,,,,,,
70,Pure Nature Dragon,,,,,,
71,Pure Electric Dragon,,,,,,
72,Pure Ice Dragon,,,,,,
73,Pure Metal Dragon,,,,,,
74,Pure Dark Dragon,,,,,,
75,Pure Dragon,9 Hours ,700000,15 Hours ,Yes,336000,"The Pure Dragon is a Epic Dragon   with the primary typing of Pure.       Can you imagine a creature so pure that he almost makes you blind with the light of his purity? Our earthly words fail to do the Pure Dragon justice, so youd better get to know him in person!"
76,Paladin Dragon,18 Hours ,4000,15 Hours ,No,50,"The Paladin Dragon is a Rare Dragon   with the primary typing of Electric. The Paladin Dragon can also learn Terra moves.      The Paladin is a dragon made of epic adventures, noble deeds, and magical powers. Hes one of the most well-behaved dragons of all time, yet has a peculiar weakness for hot dogs!"
77,Fossil Dragon,16 Hours ,4500,24 Hours ,Yes,50000,The Fossil Dragon is a Common Dragon   with the primary typing of Dark. The Fossil Dragon can also learn Ice moves.      The unique quality of the Fossil Dragon is that he can be trapped in ice for centuries and yet fly away as agile as an eagle when the ice melts. This dragon has a lot of stories to tell.
78,Seahorse Dragon,16 Hours ,1000,24 Hours ,Yes,50000,"The Seahorse Dragon is a Common Dragon   with the primary typing of Sea. The Seahorse Dragon can also learn Nature moves.      This happy-go-lucky dragon adores the beach life and the sun! You can find him at all major surfing spots around Dragon City, splashing in the waves and bringing smiles to the faces of all creatures."
79,Sky Dragon,16 Hours ,1000,24 Hours ,Yes,50000,"The Sky Dragon is a Common Dragon   with the primary typing of Terra. The Sky Dragon can also learn Electric moves.      This dragon is as mysterious as it gets! Hes a whisper in the air, a light September breeze on your cheek, that shadow in the corner of your eye... Catch him, if you can!"
80,Bat Dragon,16 Hours ,1500,24 Hours ,Yes,100000,"The Bat Dragon is a Rare Dragon   with the primary typing of Dark. The Bat Dragon can also learn Terra moves.      Descended from bats, this dragon has many special talents. She is an amazingly agile flyer and uses echolocation to navigate your Islands during the night!"
81,Aztec Dragon,16 Hours ,1000,2 minutes ,Yes,150,"The Aztec Dragon is a Rare Dragon   with the primary typing of Terra. The Aztec Dragon can also learn Flame moves.      Coming from deep in the jungle, where his mysterious civilization has dwelled undisturbed for millennia, this rare dragon’s wisdom is sought after by sages far and wide."
82,Chinese Dragon,18 Hours ,1000,15 Hours ,No,30000,"The Chinese Dragon is a Common Dragon   with the primary typing of Flame. The Chinese Dragon can also learn Terra moves.      This dragon has always been close to the Emperor of China and some even say that he might be the true holder of the imperial power. He brings you good luck, prosperity, and wisdom."
83,King Dragon,16 Hours ,1500,24 Hours ,Yes,150000,"The King Dragon is a Rare Dragon   with the primary typing of Metal. The King Dragon can also learn Flame moves.      Contrary to popular belief, the King Dragon often leaves the throne and mingles with dragons of low birth in order to share the joys of life away from wealth, if only for a while."
84,Wizard Dragon,16 Hours ,1500,24 Hours ,Yes,150000,"The Wizard Dragon is a Rare Dragon   with the primary typing of Terra. The Wizard Dragon can also learn Dark moves.      Most would think that combining a wizard and a dragon would result in pure magical power. Unfortunately, this dragon is mostly known for his clumsiness and an utterly strange sense of humor."
85,Two-headed Dragon,1 day 4 hrs ,2000,1 days 12 hrs ,Yes,200000,The Two-headed Dragon is a Rare Dragon   with the primary typing of Nature. The Two-headed Dragon can also learn Dark moves.      Two is definitely better than one! This two-headed beast is double the fun and double the trouble! Please dont turn your back on him unless you want to end up the butt of a practical joke.
86,Plankton Dragon,16 Hours ,1000,24 Hours ,Yes,50000,"The Plankton Dragon is a Common Dragon   with the primary typing of Sea. The Plankton Dragon can also learn Terra moves.      Comfortable both below and above water, this dragon is known as the “wanderer” because she can travel thousands of miles without rest. With her magnificent glow, shes especially impressive at night."
87,Uncle Sam Dragon,,,,,,
88,Evil Pumpkin Dragon,,,,,,
89,Viking Dragon,16 Hours ,1500,24 Hours ,Yes,150000,"The Viking Dragon is a Rare Dragon   with the primary typing of Ice. The Viking Dragon can also learn Sea moves.      Watch out, this Nordic dragon will do everything possible to conquer and pillage the Habitats of the other dragons... Unless he decides to enjoy a hearty meal and take a nap instead!"
90,Jelly Dragon,9 Hours ,1000,15 Hours ,Yes,30000,"The Jelly Dragon is a Rare Dragon   with the primary typing of Sea. The Jelly Dragon can also learn Terra moves.      Wobbly and cheerful, this dragon is a blast! She has a special ability to change color when she grows up, and she makes people of all ages break out in hysterical laughter!"
91,Quetzal Dragon,1 day 8 hrs ,1500,24 Hours ,No,50,"The Quetzal Dragon is a Common Dragon   with the primary typing of Nature. The Quetzal Dragon can also learn Flame moves.      Dating back to the Mesoamerican jungles, this dragon forms the boundary between heaven and earth. Speeding to the skies and back, Quetzal is also the high priest of all dragons!"
92,Queen Dragon,1 day 8 hrs ,1500,24 Hours ,No,150000,The Queen Dragon is a Common Dragon   with the primary typing of Metal. The Queen Dragon can also learn Nature moves.      The prettier counterpart of the power couple - Their Majesties King and Queen Dragon - is known for her peaceful and fair nature. Only the tricks of the evil witch will awaken her dark fury!
93,Thanksgiving Dragon,1 day 8 hrs ,1500,24 Hours ,No,100000,The Thanksgiving Dragon is a Common Dragon   with the primary typing of Flame. The Thanksgiving Dragon can also learn Sea moves.      This dragon was one of the first inhabitants of the magical Dragon Islands! Hes known for his humble and grateful nature and has an incredible fondness for oven-cooked turkey!
94,Santa Dragon,18 Hours ,1000,15 Hours ,No,30000,"The Santa Dragon is a Rare Dragon   with the primary typing of Ice. The Santa Dragon can also learn Terra moves.      Ho, ho, ho! The merriest dragon ever wishes you an awesome Christmas! With him, all the days of the year will be filled with peace and sharing."
95,Ghost Dragon,1 day 8 hrs ,1500,24 Hours ,No,100000,"The Ghost Dragon is a Common Dragon   with the primary typing of Dark. The Ghost Dragon can also learn Terra moves.      Are you ready to be haunted? This ghastly dragon possesses a slightly split personality, so you never know if he will be good or evil when you play with him."
96,Deep Forest Dragon,,,,,,
97,Ninja Dragon,9 Hours ,1000,15 Hours ,Yes,30000,"The Ninja Dragon is a Common Dragon   with the primary typing of Metal. The Ninja Dragon can also learn Nature moves.      Keep your eyes on this dragon at all times since, despite his cute look, hes extremely dangerous and crafty! Turn around and you just might get a ninja star in your back."
98,Ice&fire Dragon,1 day 4 hrs ,2000,1 days 12 hrs ,Yes,200000,The Ice&fire Dragon is a Rare Dragon   with the primary typing of Flame. The Ice&fire Dragon can also learn Ice moves.      An extremely conflicted creature that is very hard to capture! His life is a constant migration from the toasty equator to the chilly North so he can keep both sides satisfied.
99,Aurora Dragon,16 Hours ,1500,24 Hours ,Yes,150000,"The Aurora Dragon is a Rare Dragon   with the primary typing of Electric. The Aurora Dragon can also learn Flame moves.      This dragon is even harder to spot than the Northern Lights themselves, so not much is known about her nature. Just get ready for the most amazing light show that this planet has to offer!"
100,Music Dragon,16 Hours ,1500,24 Hours ,Yes,100000,"The Music Dragon is a Rare Dragon   with the primary typing of Flame. The Music Dragon can also learn Electric moves.      Can your hear that mesmerizing sound coming from above? Its the Music Dragon, creating the most beautiful sounds with her wings while flying through the clouds of Dragon City."
101,Block Dragon,9 Hours ,1000,15 Hours ,Yes,30000,"The Block Dragon is a Rare Dragon   with the primary typing of Electric. The Block Dragon can also learn Dark moves.      What happens when plastic, electricity, and dark forces combine? A Block Dragon is created! This dragon has a great sense of humor and an infinite collection of slightly naughty jokes..."
102,Summerfly Dragon,16 Hours ,1500,24 Hours ,Yes,150000,"The Summerfly Dragon is a Rare Dragon   with the primary typing of Nature. The Summerfly Dragon can also learn Flame moves.      The Summerfly Dragon can truly handle the heat. Her fiery temper is known throughout the islands, but give her a lick of your ice cream cone, and shell love you forever!"
103,Alien Dragon,18 Hours ,1000,15 Hours ,No,30000,The Alien Dragon is a Common Dragon   with the primary typing of Sea. The Alien Dragon can also learn Metal moves.      A dragon from another universe - a completely unknown alien entity! Dont even try to fool this creature since he can read your mind before you even think your thoughts!
104,Great White Dragon,,,,,,
105,Pharaoh Dragon,9 Hours ,1000,15 Hours ,Yes,30000,"The Pharaoh Dragon is a Rare Dragon   with the primary typing of Electric. The Pharaoh Dragon can also learn Terra moves.      When the sun sets behind the ancient pyramids, some statues start to move... This ruler dragon can hold a pose for centuries before taking a stroll under the cover of night."
106,Paradise Dragon,16 Hours ,1000,24 Hours ,Yes,50000,"The Paradise Dragon is a Common Dragon   with the primary typing of Nature. The Paradise Dragon can also learn Flame moves.      What happens when you put a dragon in paradise? It grows bright, light feathers, starts to glow like gold and is filled with eternal peace and tranquility unknown any other dragon."
107,Gaudi Dragon,18 Hours ,1000,15 Hours ,No,30000,The Gaudi Dragon is a Common Dragon   with the primary typing of Terra. The Gaudi Dragon can also learn Ice moves.      This dragon is legendary even amongst the legendary dragons. Its regal stature attracts attention wherever it flies. It prefers colder climates due to the risk of sunburn.
108,Octopus Dragon,18 Hours ,1000,15 Hours ,No,30000,The Octopus Dragon is a Rare Dragon   with the primary typing of Dark. The Octopus Dragon can also learn Sea moves.      This dragon is the boss of all the pirates and can use her evil tentacles to fight up to 8 opponents at the same time! Beat her and you can be very proud of your achievement.
109,Jellyfish Dragon,18 Hours ,1000,15 Hours ,No,30000,"The Jellyfish Dragon is a Common Dragon   with the primary typing of Sea. The Jellyfish Dragon can also learn Nature moves.      Sometimes the most beautiful thing can be the most harmful one. Looking at the Jellyfish Dragon might feel like a mesmerizing dream, until you get too close..."
110,Carnival Dragon,16 Hours ,1500,24 Hours ,Yes,1000,"The Carnival Dragon is a Rare Dragon   with the primary typing of Metal. The Carnival Dragon can also learn Flame moves.      Theres no party like a Carnival Dragon party! Wherever this dragon travels, the party starts immediately. If you cant handle the fun, stay out of the way!"
111,Love Dragon,1 day 8 hrs ,1500,24 Hours ,No,50,"The Love Dragon is a Common Dragon   with the primary typing of Flame. The Love Dragon can also learn Electric and  Nature moves.      Will love unite us or tear us apart? For those searching for answers to the big questions, getting to know this endearing dragon is highly recommended! All you need is Love Dragon."
112,Dujur Dragon,9 Hours ,1000,15 Hours ,Yes,30000,"The Dujur Dragon is a Very Rare Dragon   with the primary typing of Flame. The Dujur Dragon can also learn Electric and  Ice moves.      Despite his size, Dujur is as light as a spring cloud and therefore needs no wings to fly. Dujur brings good luck with him wherever he goes and never gets tired of helping children!"
113,T-rex Dragon,18 Hours ,1000,15 Hours ,No,30000,"The T-rex Dragon is a Rare Dragon   with the primary typing of Flame. The T-rex Dragon can also learn Terra moves.      The T-Rex Dragon greatly resembles one of the most dangerous hunters ever. Something changed along the way, though, because this specimen is one of the most harmless dragons around."
114,Brontosaurus Dragon,9 Hours ,1000,15 Hours ,Yes,30000,"The Brontosaurus Dragon is a Rare Dragon   with the primary typing of Nature. The Brontosaurus Dragon can also learn Terra moves.      This vegetarian giant loves all living creatures: children, animals, dragons... But most of all, he loves all edible plants! In fact, there are rumors that “bronto” means “forever hungry”."
115,Hydra Dragon,1 days 16 hrs ,2500,2 Days ,Yes,250000,"The Hydra Dragon is a Very Rare Dragon   with the primary typing of Electric. The Hydra Dragon can also learn Sea moves.      Legend says that when you cut one of the Hydra Dragons heads off, two more will grow in its place. So youd better keep this dragon and his poisonous breath on your side!"
